REGIONE,COMUNE,PROVINCIA,CODICEISTITUTORIFERIMENTO,DENOMINAZIONEISTITUTORIFERIMENTO,CODICESCUOLA,DENOMINAZIONESCUOLA,INDIRIZZOSCUOLA,CAPSCUOLA,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA
LAZIO,FROSINONE,FROSINONE,FRMM466008,8^ CPIA PROVINCIA FROSINONE,FRMM466008,8^ CPIA PROVINCIA FROSINONE,VIA MASCAGNI 14,03100,SCUOLA PRIMO GRADO
LAZIO,BRACCIANO,ROMA,RMIS048005,LUCA PACIOLO,RMRC048014,VIA DEI LECCI-BRACCIANO,VIA DEI LECCIS.N.C.,00062,IST PROF PER I SERVIZI COMMERCIALI E TURISTICI
LAZIO,ROMA,ROMA,RMIC83700E,"""RAFFAELLO""",RMAA83701B,JOAN MIRO',VIA SANTE VANDI 50,00173,SCUOLA INFANZIA
LAZIO,SANTA MARINELLA,ROMA,RMIC8CA00G,I.C. PIAZZALE DELLA GIOVENTU 1,RMAA8CA01C,S. MARINELLA CENTRO URBANO,VIA DELLA CONCILIAZIONE 5,00058,SCUOLA INFANZIA
LAZIO,VETRALLA,VITERBO,VTIS01200C,"""A. FARNESE"" - CAPRAROLA",VTTD01201P,"""PIETRO CANONICA"" - VETRALLA",Non Disponibile,01019,ISTITUTO TECNICO COMMERCIALE
LAZIO,ROCCA DI PAPA,ROMA,RMIC8AQ00N,LEONIDA MONTANARI,RMEE8AQ03T,CAMPI DI ANNIBALE,VIA CAMPI DI ANNIBALE SNC,00040,SCUOLA PRIMARIA
LAZIO,MARINO,ROMA,RMIC8A100A,IC MARINO CENTRO,RMAA8A1028,SCUOLA DELL'INFANZIA -S.PERTINI,VIA M. COLONNA,00047,SCUOLA INFANZIA
LAZIO,ARDEA,ROMA,RMIC8DA006,IC ARDEA II,RMEE8DA029,CAMPO DI CARNE 2,VIA CAMPO DI CARNE S.N.C,00040,SCUOLA PRIMARIA
LAZIO,PIGNATARO INTERAMNA,FROSINONE,FRIC826009,I.C. SAN GIORGIO A LIRI,FRMM82602B,SEZ. STAC. PIGNATARO INTERAMNA,VIA S.MARIA,03040,SCUOLA PRIMO GRADO
LAZIO,ARLENA DI CASTRO,VITERBO,VTIC804009,PAOLO III CANINO,VTAA804027,SCUOLA INFANZIA ARLENA DI C.,VIA ROMA N. 22,01010,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC8CT007,I.C. VIA RUGANTINO 91,RMAA8CT047,VIA DELLE RONDINI,VIA DELLE RONDINI 37,00169,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC86400V,I. C. LUCIO FONTANA,RMEE864011,GROTTAROSSA,VIA VALLE DEL VESCOVO25,00188,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMMM67000C,CPIA 1,RMCT70200C,C.T.P. 03,VIA C. PERAZZI 30,00139,CENTRO TERRITORIALE
LAZIO,FONDI,LATINA,LTIC853009,I.C. MILANI,LTEE85302C,SELVA VETERE,VIA COVINO,04022,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMIC83700E,"""RAFFAELLO""",RMEE83701L,HENRI MATISSE,VIA GREGORACI 70,00173,SCUOLA PRIMARIA
LAZIO,SALISANO,RIETI,RIIC82500N,IST. COMPRENSIVO BASSA SABINA,RIAA82502G,SALISANO,LARGO COSTANTINI 14,02040,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC833007,"""GIANNI RODARI"" - VIA NIOBE",RMMM833018,GIANNI RODARI,VIA NIOBE 50/52,00118,SCUOLA PRIMO GRADO
